"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"016.823912","007432282","Monograph","Language material ; Text","Volume","GB7817160","","9780824099558","Meyers, Jeffrey","","person","","Meyers, Jeffrey [person] ; Meyers, Valerie [person]","George Orwell : an annotated bibliography of criticism","","Garland reference library of the humanities","volume 54 [Garland reference library of the humanities]","England ; United States of America","Holly Bush Hill, NW3 6SH ; London ; New York","Garland","1977","","ix, 132 pages, 8 pages of plates, leaf of plates, illustrations, facsimiles, 23 cm","78/12190 ; X.989/52441","Orwell, George, 1903-1950--Bibliography ; Fiction in English--Orwell, George--1903-1950--Bibliographies ; Satire, English--History and criticism--Bibliography ; Dystopias in literature--Bibliography","","English","",""
"016.82891209","008822829","Monograph","Language material ; Text","Volume","GB9861353","","9781873040058 ; 9781884718465","Fenwick, Gillian","","person","","Fenwick, Gillian [person]","George Orwell : a bibliography","","Winchester bibliographies of 20th century writers","","England","New Castle, Delaware ; Winchester","Oak Knoll ; St. Paul's Bibliographies","1998","","xxi, 426 pages, 24 cm","2725.g.3265 ; 98/12853","Orwell, George, 1903-1950--Bibliography ; Dystopias--Bibliography ; Satire, English--Bibliography","","English","Includes index",""
"082","005577303","Monograph","Language material ; Text","Volume","GB7028770","","9780140031515","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","The collected essays, journalism and letters of George Orwell","","","","England","Harmondsworth","Penguin","1970","","624 pages, 18 cm","","","","English","Originally published, London: Secker & Warburg, 1968",""
"082","005577304","Monograph","Language material ; Text","Volume","GB7028771","","9780140031522","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","The collected essays, journalism and letters of George Orwell","","","","England","Harmondsworth","Penguin","1970","","540 pages, 18 cm","","","","English","Originally published, London: Secker & Warburg, 1968",""
"082","005577305","Monograph","Language material ; Text","Volume","GB7028772","","9780140031539","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","The collected essays, journalism and letters of George Orwell","","","","England","Harmondsworth","Penguin","1970","","492 pages, 18 cm","","","","English","Originally published, London: Secker & Warburg, 1968",""
"082","005577306","Monograph","Language material ; Text","Volume","GB7028773","","9780140031546","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","The collected essays, journalism and letters of George Orwell","","","","England","Harmondsworth","Penguin","1970","","621 pages, 18 cm","","","","English","Originally published, London: Secker & Warburg, 1968",""
"082","005578283","Monograph","Language material ; Text","Volume","GB6819084","","9780436350153","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The collected essays, journalism and letters of George Orwell","","","","United Kingdom","","Secker & Warburg","1968","","555 pages, illustrations, 22 cm","","","","English","",""
"082","005578284","Monograph","Language material ; Text","Volume","GB6819083","","9780436350160","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The collected essays, journalism and letters of George Orwell","","","","United Kingdom","","Secker & Warburg","1968","","435 pages, 22 cm","","","","English","",""
"082","005578285","Monograph","Language material ; Text","Volume","GB6819082","","9780436350177","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The collected essays, journalism and letters of George Orwell","","","","United Kingdom","","Secker & Warburg","1968","","477 pages, illustrations, 22 cm","","","","English","",""
"082","005578286","Monograph","Language material ; Text","Volume","GB6819081","","9780436350184","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The collected essays, journalism and letters of George Orwell","","","","United Kingdom","","Secker & Warburg","1968","","574 pages, illustrations, 22 cm","","","","English","",""
