"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"!!","1939-","person","","!!, 1939- [person]","009038808","Monograph","Language material ; Text","Volume","GB7510881","","9780500140192 ; 9780500150146","A reader's guide to George Orwell","","","","England","London","Thames & Hudson","1975","","192 pages, 21 cm","823.912","","Satire, English--History and criticism--Handbooks, manuals, etc ; Fiction in English--Orwell, George--1903-1950--Critical studies ; Dystopias in literature--Handbooks, manuals, etc ; Orwell, George, 1903-1950--Criticism and interpretation--Handbooks, manuals, etc","","English","bibliography: p.181-185. _ Includes index",""
"1984 : myths and realities (conference), strasbourg","1984","meeting/conference","","European Foundation for Sciences, Arts, and Culture [organisation] ; Shoham, S. Giora, 1929- [person] ; Council of Europe [organisation] ; 1984 : myths and realities (conference), strasbourg, 1984 [meeting/conference] ; 1984, mythes et réalités (conference), strasbourg, 1984 [meeting/conference] ; Rosenstiel, Francis [person]","009341340","Monograph","Language material ; Text","Volume","","","","Big Brother, un inconnu familier : contributions au colloque George Orwell, 1984, mythes et réalités","","Contemporains","","Switzerland","Lausanne","L'Âge d'homme","1986","","295 pages","","YA.1987.a.3309","Fiction in English--Orwell, George--1903-1950--Conference proceedings ; Orwell, George, 1903-1950","","French","",""
"1984, mythes et réalités (conference), strasbourg","1984","meeting/conference","","European Foundation for Sciences, Arts, and Culture [organisation] ; Shoham, S. Giora, 1929- [person] ; Council of Europe [organisation] ; 1984 : myths and realities (conference), strasbourg, 1984 [meeting/conference] ; 1984, mythes et réalités (conference), strasbourg, 1984 [meeting/conference] ; Rosenstiel, Francis [person]","009341340","Monograph","Language material ; Text","Volume","","","","Big Brother, un inconnu familier : contributions au colloque George Orwell, 1984, mythes et réalités","","Contemporains","","Switzerland","Lausanne","L'Âge d'homme","1986","","295 pages","","YA.1987.a.3309","Fiction in English--Orwell, George--1903-1950--Conference proceedings ; Orwell, George, 1903-1950","","French","",""
"1984: Myths and Realities (Conference), Strasbourg, France","1984","meeting/conference","","European Foundation for Sciences, Arts, and Culture [organisation] ; Shoham, S. Giora, 1929- [person] ; 1984: Myths and Realities (Conference), Strasbourg, France, 1984 [meeting/conference] ; Council of Europe [organisation] ; Tamari, Anita [person] ; Rosenstiel, Francis [person]","010054435","Monograph","Language material ; Text","Volume","GB8500356","","9780333387528","And he loved big brother : man, state and society in question : contributions to the George Orwell colloquy, 1984: Myths and Realities, organised by the Council of Europe in collaboration with the European Foundation for Sciences, Arts and Culture, Strasbourg, 1984","","","","England","London","Macmillan","1985","","lx, 197 pages, 23 cm","823.912","X.529/69396","Orwell, George, 1903-1950--Congresses ; Orwell, George, 1903-1950--Criticism and interpretation--Congresses ; Fiction in English--Orwell, George--Nineteen eighty-four--Predictions--expounded by--political events--1948-1984--Conference proceedings ; Civilization, Modern--1950---Congresses ; Dystopias in literature--Congresses","","English","Conference papers ; Includes index",""
"Abrahams, William","","person","","Abrahams, William [person] ; Orwell, George, 1903-1950 [person] ; Stansky, Peter [person]","003479423","Monograph","Language material ; Text","Volume","","","9780094577305","The unknown Orwell","","","","England","London","Constable","1972","","xvi, 271 pages, plates, portraits, 23 cm","","72/13692 ; T 26620 ; X.989/18171","","","English","",""
"Abrahams, William","","person","","Abrahams, William [person] ; Orwell, George, 1903-1950 [person] ; Stansky, Peter [person]","003479424","Monograph","Language material ; Text","Volume","","","9780586081785","The unknown Orwell","","","","England","London","Paladin","1974","","287 pages, plates, portraits, 20 cm","","X.908/29215 ; X26/0466","","","English","",""
"Abrahams, William","","person","","Abrahams, William [person] ; Štanský, Peter [person]","007017681","Monograph","Language material ; Text","Volume","GB7227548","","9780094577305","The unknown Orwell","","","","England","London","Constable","1972","","xvi, 271, 10 pages, portraits, 23 cm","823.912","","Authors, English--20th century--Biography ; Journalists--Great Britain--Biography ; Fiction in English--Orwell, George, 1903-1933--Biographies ; Orwell, George, 1903-1950","Biography","English","Includes index",""
"Abrahams, William","","person","","Abrahams, William [person] ; Štanský, Peter [person]","009685553","Monograph","Language material ; Text","Volume","GB7418512","","9780586081785","The unknown Orwell","","","","England","London","Paladin","1974","","287 pages, 4 pages of plates, portraits, 20 cm","823.912","","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; Fiction in English--Orwell, George--to 1933--Biographies","","English","Includes index ; Originally published: London : Constable, 1972",""
"Abrahams, William","","person","","Abrahams, William [person] ; Štanský, Peter [person]","010658793","Monograph","Language material ; Text","Volume","GB8002958","","9780094622500","Orwell : the transformation","","","","England","London","Constable","1979","","xi, 240 pages, 12 pages of plates, illustrations, portraits, 23 cm","823.912","79/35722 ; X.989/54121","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; Fiction in English--Orwell, George--1933-1937--Biographies","","English","Includes index",""
"Abrahams, William","1919-","person","","Stansky, Peter, 1932- [person] ; Abrahams, William, 1919- [person]","010371319","Monograph","Language material ; Text","Volume","GB9465523","","9780094734708","Orwell : the transformation","","","","England","London","Constable","1994","","xi, 240 pages, 12 pages of plates, illustrations, portraits, 22 cm","823.912","","English fiction ; Orwell, George, 1903-1950","","English","Includes index",""
"Abrahams, William","1919-","person","","Stansky, Peter, 1932- [person] ; Abrahams, William, 1919- [person]","010553902","Monograph","Language material ; Text","Volume","GB8132921","","9780586081785","The unknown Orwell","","A Paladin Book","","England","London","Granada","1981","","xviii, 287 pages, 4 pages of plates, illustrations, portraits, 20 cm","823.912","X.808/35471","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; Fiction in English--Orwell, George--to 1933--Biographies","","English","Includes index ; Originally published: London : Constable, 1972",""
"Abrahams, William","1919-","person","","Stansky, Peter, 1932- [person] ; Abrahams, William, 1919- [person]","010659649","Monograph","Language material ; Text","Volume","GB9464467","","9780094734609","The unknown Orwell","","","","England","London","Constable","1994","","xvi, 270 pages, 6 pages of plates, portraits, 22 cm","823.912","YK.1994.a.13797","English fiction ; Orwell, George, 1903-1950","","English","Includes index ; Originally published: 1972",""
"Abrahams, William","1919-","person","","Stansky, Peter, 1932- [person] ; Abrahams, William, 1919- [person]","010706944","Monograph","Language material ; Text","Volume","GB8132922","","9780586083758","Orwell : the transformation","","Paladin Book","","England","London","Granada","1981","","253 pages, 8 pages of plates, illustrations, portraits, 20 cm","823.912","X.958/4530","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; Fiction in English--Orwell, George--1933-1937--Biographies","","English","Includes index ; Originally published: London : Constable, 1979",""
"Ahlbäck, Pia Maria","","person","","Ahlbäck, Pia Maria [person]","008034726","Monograph","Language material ; Text","Volume","","","9789517650854","Energy, heterotopia, dystopia : George Orwell, Michel Foucault and the twentieth century environmental imagination","","","","Finland","","Åbo Akademis Förlag","2001","","iv, 279 pages, 21 cm","","YA.2003.a.16606","Orwell, George, 1903-1950--Criticism and interpretation ; Ecology in literature","","English","Thesis (Ph. D.) --Åbo Akademi, 2002 ; Thesis statement tipped in",""
"Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)","","person","","Al-Jubouri, Firas A. J. (Firas Adnan Jabbar) [person]","017854619","Monograph","Language material ; Text","Online resource","GBB6F7210","","9781443857796","Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud'","George Orwell's self-division in an era of 'force and fraud'","","","United Kingdom","Newcastle upon Tyne","Cambridge Scholars","2014","","1 online resource (xiv, 254 pages)","823.912","ELD.DS.61891","Anti-Utopie ; Literature & literary studies ; Orwell, George, 1903-1950 ; Social psychology ; Political structures: totalitarianism & dictatorship ; Dystopias ; BUSINESS & ECONOMICS--Industries--Media & Communications ; Political ideologies ; Orwell, George, 1903-1950--Criticism and interpretation ; TECHNOLOGY & ENGINEERING--Telecommunications ; Spatial behavior","Criticsm and interpretation","English","",""
"Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)","","person","author","Al-Jubouri, Firas A. J. (Firas Adnan Jabbar), author [person]","016654651","Monograph","Language material ; Text","Volume","GBB431797","","9781443854559","Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud'","","","","England","Newcastle upon Tyne","Cambridge Scholars","2014","","xiv, 254 pages, 22 cm","823.912","YC.2014.a.14831","Dystopias in literature ; Orwell, George, 1903-1950--Criticism and interpretation ; Totalitarianism in literature ; Machiavelli, Niccolò, 1469-1527--Influence","","English","",""
"Albiñana, Javier","","person","translator","Semprún, Jorge, author ; interviewee [person] ; Appréderis, Franck, interviewer ; writer [person] ; Semprún, Jorge [person] ; Albiñana, Javier, translator [person]","016716622","Monograph","Language material ; Text","Volume","","","9788483838488","Vivir es resistir : tres conferencias y una conversación","Langage est ma patrie ; Lenguaje es mi patria ; Métier de l'homme ; Oficio de hombre ; Works. Selections. Spanish","Ensayo","93 [Ensayo]","Spain","Barcelona","Tusquets","2014","1st a edición","197 pages, 21 cm","306","YF.2015.a.18073","Intellectual life ; Husserl, Edmund, 1859-1938 ; Resistance (Philosophy) ; Bloch, Marc, 1886-1944 ; Semprún, Jorge--Interviews ; Orwell, George, 1903-1950 ; 1900 - 1999 ; Government, Resistance to, in literature ; Semprún, Jorge--Philosophy ; Orwell, George, 1903-1950--Criticism and interpretation ; Intellectual life--20th century","Criticsm and interpretation ; Interview","Spanish","First work consists of three related studies based on papers presented at the Bibliothèque nationale de France in 2002 ; Second, longer, work consists of a dialogue between the author and Franck Appréderis ; Translated from the French",""
"Alldritt, Keith","","person","","Alldritt, Keith [person] ; Orwell, George, 1903-1950 [person]","000054226","Monograph","Language material ; Text","Volume","","","9780713154566","The making of George Orwell. An essay in literary history","","","","England","London","Edward Arnold","1969","","181 pages, 23 cm","","X.909/17240","","","English","",""
"Alldritt, Keith","","person","","Alldritt, Keith [person]","011593479","Monograph","Language material ; Text","Volume","GB6913062","","9780713154566","The making of George Orwell : an essay in literary history","","","","England","London","Edward Arnold","1969","","7, 181 pages, 23 cm","823.91","L70/1152","Dystopias in literature ; Orwell, George, 1903-1950--Criticism and interpretation ; Satire, English--History and criticism","","English","",""
"Allways, H. Lewis","","person","","Orwell, George, 1903-1950 [person] ; Allways, H. Lewis [person]","011890359","Monograph","Language material ; Text","Microfilm","","","","'I ślepy by spostrzegł' : wybór esejów i felietonów","Essays. Selections. Polish","","","Poland","Warszawa","Biblioteka Historyczna i Literacka","1981","","120 pages","","MIC A 9870","Essays in English--1900-1945--Translations","","Polish","Samizdat publication",""
"Alok Rai","","person","","Alok Rai [person]","008757912","Monograph","Language material ; Text","Volume","GB8822362","","9780521345194","Orwell and the politics of despair : a critical study of the writings of George Orwell","","","","England","Cambridge","Cambridge University Press","1988","","1 volume","823.912","89/06952 ; YC.1989.a.9039","Despair in literature ; Political fiction, English--History and criticism ; Orwell, George, 1903-1950--Political and social views ; Politics and literature--Great Britain--History--20th century ; Fiction in English--Orwell, George--1903-1950","","English","Includes index",""
"Amanshauser, Hildegund","","person","","Amanshauser, Hildegund [person] ; Schrage, Dieter [person] ; Museum des 20. Jahrhunderts (Austria) [organisation] ; Wiener Festwochen, 1984 [meeting/conference]","009951703","Monograph","Language material ; Text","Volume","","","","'1984', Orwell und die Gegenwart : Ausstellung der Wiener Festwochen im Museum des 20. Jahrhunderts vom 10.5. bis 8.7.1984, Museum Moderner Kunst","","","","Austria","Vienna","Museum Moderner Kunst","1984","","180 pages, illustrations (some colour), 24 cm","","YV.1989.b.1521","Orwell, George, 1903-1950--Influence--Exhibitions ; Art, Modern--20th century--Exhibitions","","German","",""
"Anderson, Paul","1959-","person","","Orwell, George, 1903-1950 [person] ; Anderson, Paul, 1959- [person]","013490450","Monograph","Language material ; Text","Volume","GBA654381","","9781842751558","Orwell in Tribune : 'As I please' and other writings, 1943-7","","","","England","London","Politico's","2006","","ix, 401 pages, 24 cm","828.91209","YC.2007.a.13863","Orwell, George, 1903-1950--Political and social views","","English","",""
