"BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"000054226","Monograph","Language material ; Text","Volume","","","9780713154566","Alldritt, Keith","","person","","Alldritt, Keith [person] ; Orwell, George, 1903-1950 [person]","The making of George Orwell. An essay in literary history","","","","England","London","Edward Arnold","1969","","181 pages, 23 cm","","X.909/17240","","","English","",""
"000135405","Monograph","Language material ; Text","Volume","","","","Atkins, John","1916-2009","person","","Orwell, George, 1903-1950 [person] ; Atkins, John, 1916-2009 [person]","George Orwell. A literary study","","","","England","London","John Calder","1954","","348 pages (8°)","","11870.ee.20","","","","",""
"000135406","Monograph","Language material ; Text","Volume","","","9780714507156","Atkins, John","1916-2009","person","","Orwell, George, 1903-1950 [person] ; Atkins, John, 1916-2009 [person]","George Orwell: a literary study","","","","England","London","Calder & Boyars","1971","","394 pages, 21 cm","","X.989/11154","","","","",""
"000175769","Monograph","Language material ; Text","Volume","","","","Baker, Isadore Lewis","","person","","Orwell, George, 1903-1950 [person] ; Baker, Isadore Lewis [person]","George Orwell: Animal Farm","Animal Farm","Notes on Chosen English Texts","","England","London","James Brodie","1961","","71 pages (8°)","","W.P.c.589/105","","","","",""
"000405621","Monograph","Language material ; Text","Volume","","","","Bond, Nelson","","person","","Bond, Nelson [person] ; Orwell, George, 1903-1950 [person]","Animal Farm. A fable in two acts. Adapted by Nelson Bond from the book by George Orwell","Animal Farm","","","United States of America","New York","Samuel French","1964","","57 pages (8°)","","X.908/4425","","","","",""
"000453556","Monograph","Language material ; Text","Volume","","","","Brander, Laurence Robert Mean","","person","","Brander, Laurence Robert Mean [person] ; Orwell, George, 1903-1950 [person]","George Orwell [A critical study. With a portrait.]","","","","England","London","Longmans Green","1954","","212 pages (8°)","","10855.df.32","","","","",""
"000518592","Monograph","Language material ; Text","Volume","","","9780856320767","Buddicom, Jacintha Laura May","","person","","Orwell, George, 1903-1950 [person] ; Buddicom, Jacintha Laura May [person]","Eric and us. A remembrance of George Orwell","","","","England","London","Frewin","1974","","xxi, 169 pages, plates, illustrations, genealogical table, map, portraits, 23 cm","","X.989/28243","","","","",""
"000570355","Monograph","Language material ; Text","Volume","","","","Calder, Jenni","","person","","Koestler, Arthur, 1905-1983 [person] ; Orwell, George, 1903-1950 [person] ; Calder, Jenni [person]","Chronicles of conscience. A study of George Orwell and Arthur Koestler","","","","England","London","Secker & Warburg","1968","","303 pages (8°)","","X.909/16070","","","","",""
"000744420","Monograph","Language material ; Text","Volume","","","","","","","","Orwell, George, 1903-1950 [person]","A collection of pamphlets, mainly political, formed by George Orwell","","","","","","","1915","","(4° and 8°)","","1899.ss.1-21 ; 1899.ss.23-26 ; 1899.ss.28-47 ; 1899.ss.48 ; 1899.ss.49","","","English","Detailed inventory on British Library webpage at: http://www.bl.uk/reshelp/findhelpsubject/literature/authors/orwellgeorge/georgeorwell.html. ORDERS RESTRICTED TO ONE SUB-GROUP AT A TIME",""
"001455794","Monograph","Language material ; Text","Volume","","","","Gollancz, Victor","1893-1967","person","","Strachey, John, 1901-1963 [person] ; Orwell, George, 1903-1950 [person] ; Gollancz, Victor, 1893-1967 [person]","The Betrayal of the Left. An examination & refutation of Communist policy from October 1939 to January 1941: with suggestions for an alternative and an epilogue on political morality. (Edited by V. Gollancz: contributors, the editor, John Strachey, George Orwell, a Labour Candidate.)","","","","England","London","Victor Gollancz","1941","","xxiii, 324 pages (8°)","","08004.ee.60","","","English","",""
"001522971","Monograph","Language material ; Text","Volume","","","9780297004790","Gross, Miriam","","person","","Gross, Miriam [person] ; Orwell, George, 1903-1950 [person]","The world of George Orwell, edited by Miriam Gross","","","","England","London","Weidenfeld & Nicolson","1971","","182 pages, plates, portraits, 26 cm","","X.981/2574","","","English","",""
