"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"''1984'' : release script","1984","010639150","Monograph","Language material ; Text","Volume","","","","Templeton, William P.","","person","","Templeton, William P. [person] ; Bettinson, Ralph [person] ; Orwell, George, 1903-1950 [person]","","","England","London","Holiday Film Productions","1956","","114 leaves","","Cup.410.c.36","","","English","",""
"''Orwell 1984'' : trasmissione televisiva del 4 novembre 1983","","008000358","Monograph","Language material ; Text","Volume","","","","","","","","Televisione della Svizzera italiana [organisation] ; Burgess, Anthony, 1917-1993 [person] ; Balestra, Dino [person]","Testimonianze radiotelevisive","number 2 [Testimonianze radiotelevisive]","Switzerland","Lugano","RTSI","1984","","76 pages","","YA.1989.b.4631","Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","Italian","",""
"'1984' et les présents de l'univers informationnel : 34 auteurs pour un colloque","Nineteen eighty-four","010793081","Monograph","Language material ; Text","Volume","","","9782858502936","","","","","Centre de création industrielle [organisation] ; Weissberg, Jean-Louis [person]","Alors","","France","Paris","Centre Georges Pompidou, Centre de Création Industrielle","1985","","466 pages","","YA.1987.a.8269","Orwell, George, 1903-1950","","French","Colloque ... organisé par le Centre de Création Industrielle les 1, 2 et 3 octobre 1984 au Centre Georges Pompidou",""
"'1984' i ėsse raznykh let : roman i khudozhestvennai︠a︡ publit︠s︡istika","Essays. Russian. Selections ; Nineteen eighty-four. Russian ; Tysi︠a︡cha devi︠a︡tʹsot vosemdesi︠a︡t chetyre","011224122","Monograph","Language material ; Text","Volume","","","9785010020941","Orwell, George","1903-1950","person","","Muravʹev, V. S. (Vladimir Sergeevich) [person] ; Orwell, George, 1903-1950 [person]","Zarubezhnai︠a︡ khudozhestvennai︠a︡ publit︠s︡istika i dokumentalʹnai︠a︡ proza","","Russia","Moskva","Progress","1989","","377 pages, 12 pages of plates, illustrations, 20 cm","","YA.1990.a.21284","","","Russian","",""
"'1984'","Nineteen eighty-four. Romanian ; O mie mouă sute optzeci şi patru","011898601","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Radio Free Europe, Romanian Broadcasting Department [organisation] ; Orwell, George, 1903-1950 [person]","","","Germany","Munich","Radio Free Europe","1984","","160 leaves","","X.955/2351","Fiction in English--1900-1945--Translations","","Romanian","Broadcast in instalments by the Romanian Broadcasting Department of Radio Free Europe ; Typescript",""
"'1984', Orwell und die Gegenwart : Ausstellung der Wiener Festwochen im Museum des 20. Jahrhunderts vom 10.5. bis 8.7.1984, Museum Moderner Kunst","","009951703","Monograph","Language material ; Text","Volume","","","","","","","","Amanshauser, Hildegund [person] ; Schrage, Dieter [person] ; Museum des 20. Jahrhunderts (Austria) [organisation] ; Wiener Festwochen, 1984 [meeting/conference]","","","Austria","Vienna","Museum Moderner Kunst","1984","","180 pages, illustrations (some colour), 24 cm","","YV.1989.b.1521","Orwell, George, 1903-1950--Influence--Exhibitions ; Art, Modern--20th century--Exhibitions","","German","",""
"'A Sexist After All?': The Feminists' Orwell --","'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell --","'A Sexist After All?': The Feminists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"'An affirming flame' : homage to Catalonia --","Miseries and splendors of scholarship -- ; Nineteen eighty-four : a novel of the 1930s -- ; Orwell : a voice that naked goes -- ; Orwell : life and art ; Orwell : the honorary proletarian -- ; Orwell after Orwell -- ; Orwell and the art of writing -- ; Orwell and the experience of France -- ; Orwell as film critic -- ; Orwell's Burma -- ; Orwell's apocalypse : coming up for air -- ; Orwell's bestiary : the political allegory of Animal farm -- ; Orwell's painful childhood -- ; Orwell's satiric humor -- ; Repeating the old lies -- ; Reviewing the orwellians -- ; The art -- ; The complete works of George Orwell -- ; The ethics of responsibility : Burmese days -- ; The evolution of Nineteen eighty-four -- ; The life -- ; The reluctant propagandist -- ; The wind in the willows : a new source for Animal farm -- ; True to life : writing Orwell's biography","015600094","Monograph","Language material ; Text","Volume","GBB083396","","9780252035616 ; 9780252077463","Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","","","United States of America","Urbana, Illinois","University of Illinois Press","2010","","xi, 256 pages, map, 23 cm","828.91209","m10/.26585","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Criticism and interpretation ; Journalists--Great Britain--Biography","Biography","English","",""
